"year_quarter","approvals","commencements","completions"
"1984-07-01",5124,4833,4466
"1984-10-01",4866,4762,4420
"1985-01-01",4623,4279,4417
"1985-04-01",4881,4553,4554
"1985-07-01",5108,4603,4462
"1985-10-01",4625,4602,4071
"1986-01-01",4813,3968,4220
"1986-04-01",4272,4289,4266
"1986-07-01",4300,3996,4180
"1986-10-01",4377,3871,3593
"1987-01-01",4322,4215,4367
"1987-04-01",4190,3728,4090
"1987-07-01",4311,4376,4020
"1987-10-01",5047,4303,4332
"1988-01-01",5677,4830,4014
"1988-04-01",6668,5422,3704
"1988-07-01",7296,6552,3922
"1988-10-01",7283,6768,5131
"1989-01-01",6930,6797,4735
"1989-04-01",6556,6885,5663
"1989-07-01",4447,4710,6297
"1989-10-01",4822,4213,6773
"1990-01-01",4849,4783,6584
"1990-04-01",3713,3633,5587
"1990-07-01",3793,3420,4514
"1990-10-01",3500,3692,3626
"1991-01-01",3621,3108,3888
"1991-04-01",3758,3291,3567
"1991-07-01",4391,3812,3468
"1991-10-01",4051,3832,3799
"1992-01-01",4815,3986,3881
"1992-04-01",5275,4777,3843
"1992-07-01",5536,4941,4251
"1992-10-01",5705,5160,4905
"1993-01-01",5631,5453,4744
"1993-04-01",5832,5322,5899
"1993-07-01",6234,5955,5614
"1993-10-01",6894,6114,5199
"1994-01-01",6486,6315,5215
"1994-04-01",7130,6602,5985
"1994-07-01",6618,6603,6035
"1994-10-01",6048,6031,6094
"1995-01-01",5140,5246,6531
"1995-04-01",4534,4516,5693
"1995-07-01",4101,4125,5267
"1995-10-01",3693,3835,4651
"1996-01-01",4457,3705,4186
"1996-04-01",3647,3662,3482
"1996-07-01",3762,3307,3727
"1996-10-01",3974,3748,3547
"1997-01-01",3841,3934,3456
"1997-04-01",4318,3910,3671
"1997-07-01",4034,3866,3834
"1997-10-01",4475,4216,4184
"1998-01-01",4673,4395,4003
"1998-04-01",5155,4859,4233
"1998-07-01",4759,4807,4364
"1998-10-01",4911,4393,4082
"1999-01-01",5063,4348,4827
"1999-04-01",5863,4952,4551
"1999-07-01",6144,5755,4302
"1999-10-01",6251,5438,4308
"2000-01-01",5687,6829,5289
"2000-04-01",4667,4966,5851
"2000-07-01",3588,3507,4591
"2000-10-01",3555,3469,4801
"2001-01-01",3445,3393,4593
"2001-04-01",4766,3513,3653
"2001-07-01",5114,4585,3982
"2001-10-01",5252,5061,4097
"2002-01-01",5027,4692,4263
"2002-04-01",5195,4928,4862
"2002-07-01",5402,5222,4123
"2002-10-01",5055,4526,5168
"2003-01-01",5534,5741,4770
"2003-04-01",5730,4957,4461
"2003-07-01",5672,5216,4586
"2003-10-01",6219,5910,4505
"2004-01-01",6186,5882,4708
"2004-04-01",5749,5573,4805
"2004-07-01",5998,5781,5111
"2004-10-01",5794,5525,4142
"2005-01-01",6342,5635,4529
"2005-04-01",6138,5995,5648
"2005-07-01",5980,6580,5076
"2005-10-01",6634,5954,5622
"2006-01-01",6818,6211,5905
"2006-04-01",6845,7245,5306
"2006-07-01",7132,6893,5951
"2006-10-01",6353,6209,6048
"2007-01-01",5634,5930,6198
"2007-04-01",6053,5813,6797
"2007-07-01",5755,5654,6315
"2007-10-01",5799,5547,6364
"2008-01-01",6446,5110,5364
"2008-04-01",5722,6230,5428
"2008-07-01",5386,5197,5071
"2008-10-01",4380,4284,6180
"2009-01-01",4428,4483,5036
"2009-04-01",5112,4616,5876
"2009-07-01",5847,5619,5773
"2009-10-01",6336,5637,5740
"2010-01-01",7659,7301,5917
"2010-04-01",6026,6997,5133
"2010-07-01",5237,5359,5810
"2010-10-01",5473,5225,5763
"2011-01-01",5232,5103,6665
"2011-04-01",5032,5312,6412
"2011-07-01",4904,4708,4816
"2011-10-01",4843,4614,4880
"2012-01-01",5328,4263,5128
"2012-04-01",4145,4261,5118
"2012-07-01",5908,5545,5159
"2012-10-01",6289,6487,4358
"2013-01-01",6456,6006,4624
"2013-04-01",7165,6884,4571
"2013-07-01",7471,6868,5397
"2013-10-01",7669,6942,6804
"2014-01-01",7993,7800,5677
"2014-04-01",7909,8097,7199
"2014-07-01",8491,8484,6841
"2014-10-01",8863,8242,6820
"2015-01-01",7594,7990,7198
"2015-04-01",7714,6962,7779
"2015-07-01",7199,7188,8397
"2015-10-01",6183,6651,8715
"2016-01-01",6146,5678,7247
"2016-04-01",5149,5905,8082
"2016-07-01",5274,5200,6596
"2016-10-01",5437,4728,6576
"2017-01-01",4894,4807,5834
"2017-04-01",4784,4754,4798
"2017-07-01",5050,4530,5301
"2017-10-01",5115,5519,4078
"2018-01-01",4028,4250,4965
"2018-04-01",4477,4064,4412
"2018-07-01",3929,4203,4447
"2018-10-01",3578,3632,4285
"2019-01-01",4215,3546,3909
"2019-04-01",3738,4085,4105
"2019-07-01",3728,3545,3489
"2019-10-01",3492,3336,4084
"2020-01-01",3396,3752,3938
"2020-04-01",3592,2939,3089
"2020-07-01",4111,3418,3633
"2020-10-01",7355,5858,2968
"2021-01-01",7988,7387,3363
"2021-04-01",7310,6802,3724
"2021-07-01",5366,6082,3707
"2021-10-01",4631,5652,3159
"2022-01-01",3759,4248,3477
"2022-04-01",5182,5261,3414
"2022-07-01",3825,3536,3224
"2022-10-01",3445,4421,3958
"2023-01-01",3291,3468,4222
"2023-04-01",3226,3542,3674
