"date.x","cash_rate_target","fixed_rate_outstanding","fixed_rate_new","variable_rate_new","yoy_cpi"
"2019/07/31 00:00:00",1.02,3.94,3.43,3.5,1.6
"2019/08/31 00:00:00",1,3.91,3.21,3.51,1.6
"2019/09/30 00:00:00",1,3.89,3.16,3.49,1.7
"2019/10/31 00:00:00",0.76,3.87,3.01,3.33,1.7
"2019/11/30 00:00:00",0.75,3.83,2.97,3.31,1.7
"2019/12/31 00:00:00",0.75,3.79,2.96,3.28,1.8
"2020/01/31 00:00:00",0.75,3.76,2.95,3.26,1.8
"2020/02/29 00:00:00",0.75,3.73,2.94,3.25,1.8
"2020/03/31 00:00:00",0.43,3.68,2.75,3,2.2
"2020/04/30 00:00:00",0.25,3.54,2.34,2.96,2.2
"2020/05/31 00:00:00",0.25,3.4,2.32,2.93,2.2
"2020/06/30 00:00:00",0.25,3.27,2.3,2.93,-0.3
"2020/07/31 00:00:00",0.25,3.17,2.3,2.92,-0.3
"2020/08/31 00:00:00",0.25,3.09,2.29,2.91,-0.3
"2020/09/30 00:00:00",0.25,3.01,2.27,2.9,0.7
"2020/10/31 00:00:00",0.25,2.93,2.27,2.86,0.7
"2020/11/30 00:00:00",0.11,2.86,2.16,2.85,0.7
"2020/12/31 00:00:00",0.1,2.79,2.11,2.8,0.9
"2021/01/31 00:00:00",0.1,2.73,2.1,2.79,0.9
"2021/02/28 00:00:00",0.1,2.68,2.09,2.78,0.9
"2021/03/31 00:00:00",0.1,2.6,2.02,2.78,1.1
"2021/04/30 00:00:00",0.1,2.54,1.98,2.77,1.1
"2021/05/31 00:00:00",0.1,2.48,1.95,2.76,1.1
"2021/06/30 00:00:00",0.1,2.42,1.96,2.73,3.8
"2021/07/31 00:00:00",0.1,2.37,1.98,2.72,3.8
"2021/08/31 00:00:00",0.1,2.33,1.98,2.68,3.8
"2021/09/30 00:00:00",0.1,2.29,1.98,2.68,3
"2021/10/31 00:00:00",0.1,2.25,2,2.63,3
"2021/11/30 00:00:00",0.1,2.23,2.18,2.59,3
"2021/12/31 00:00:00",0.1,2.21,2.34,2.56,3.5
"2022/01/31 00:00:00",0.1,2.21,2.42,2.52,3.5
"2022/02/28 00:00:00",0.1,2.2,2.58,2.49,3.5
"2022/03/31 00:00:00",0.1,2.21,2.81,2.46,5.1
"2022/04/30 00:00:00",0.1,2.22,3.06,2.41,5.1
"2022/05/31 00:00:00",0.33,2.24,3.31,2.61,5.1
"2022/06/30 00:00:00",0.73,2.26,3.69,3.05,6.1
"2022/07/31 00:00:00",1.28,2.28,4.1,3.51,6.1
"2022/08/31 00:00:00",1.81,2.3,4.45,3.96,6.1
"2022/09/30 00:00:00",2.25,2.33,4.7,4.38,7.3
"2022/10/31 00:00:00",2.58,2.36,4.88,4.58,7.3
"2022/11/30 00:00:00",2.84,2.4,5.1,4.8,7.3
"2022/12/31 00:00:00",3.05,2.44,5.22,4.99,7.8
"2023/01/31 00:00:00",3.1,2.46,5.33,4.96,7.8
"2023/02/28 00:00:00",3.29,2.52,5.36,5.17,7.8
"2023/03/31 00:00:00",3.54,2.58,5.53,5.42,7
"2023/04/30 00:00:00",3.6,2.62,5.55,5.41,7
"2023/05/31 00:00:00",3.83,2.7,5.52,5.66,7
"2023/06/30 00:00:00",4.05,2.84,5.68,5.94,6
"2023/07/31 00:00:00",4.1,2.95,5.81,5.95,6
"2023/08/31 00:00:00",4.1,3.03,5.86,5.99,6
"2023/09/30 00:00:00",4.1,3.11,5.94,6,5.4
