"date","perth","wacc"
"1999-04-01",3.7,4.1
"1999-07-01",6.3,5.5
"1999-10-01",9.9,7.9
"2000-01-01",9.2,7.9
"2000-04-01",7.6,7.5
"2000-07-01",12,13.9
"2000-10-01",7,10.7
"2001-01-01",7.1,9.1
"2001-04-01",7.5,8.2
"2001-07-01",0.2,1
"2001-10-01",1.1,1.8
"2002-01-01",2.4,2.5
"2002-04-01",2.6,3.8
"2002-07-01",2.7,3.9
"2002-10-01",3.1,3.6
"2003-01-01",3.2,4.3
"2003-04-01",5.7,5.2
"2003-07-01",7.8,6
"2003-10-01",8.9,6.4
"2004-01-01",9.7,5.9
"2004-04-01",9.3,5.4
"2004-07-01",8.7,4.7
"2004-10-01",10.3,5.2
"2005-01-01",13,5.5
"2005-04-01",14.2,5
"2005-07-01",15.7,5
"2005-10-01",16.1,4.3
"2006-01-01",15.1,3.3
"2006-04-01",15.6,3.5
"2006-07-01",14.6,2.5
"2006-10-01",11.4,2.1
"2007-01-01",8.9,2.8
"2007-04-01",6,2.7
"2007-07-01",3.9,3.5
"2007-10-01",3.4,4.4
"2008-01-01",2.5,5.1
"2008-04-01",2.1,5.1
"2008-07-01",3,5.4
"2008-10-01",3.5,4.2
"2009-01-01",2.9,2
"2009-04-01",1.5,1.8
"2009-07-01",0.2,1.6
"2009-10-01",0,2.4
"2010-01-01",2.2,4.2
"2010-04-01",4.1,3.8
"2010-07-01",4,3.3
"2010-10-01",3.6,3
"2011-01-01",1.8,2.6
"2011-04-01",1,2.5
"2011-07-01",1.3,1.8
"2011-10-01",1.6,1.4
"2012-01-01",1.9,0.5
"2012-04-01",2.2,0.2
"2012-07-01",1.7,1.2
"2012-10-01",1.7,1
"2013-01-01",2.7,2.8
"2013-04-01",3.4,3.6
"2013-07-01",4.7,3.2
"2013-10-01",5.5,4.1
"2014-01-01",5.4,2.4
"2014-04-01",4.7,3.2
"2014-07-01",3.7,3.8
"2014-10-01",3.1,4
"2015-01-01",2.6,4.8
"2015-04-01",2.6,4.8
"2015-07-01",1.9,4.3
"2015-10-01",1.4,3.3
"2016-01-01",-1.6,2.5
"2016-04-01",-2.3,1.9
"2016-07-01",-2.4,1.6
"2016-10-01",-2.5,2
"2017-01-01",-1.1,2.8
"2017-04-01",-1.1,2.8
"2017-07-01",-0.6,3.1
"2017-10-01",-0.9,3.2
"2018-01-01",-1.8,2.7
"2018-04-01",-2.1,2.7
"2018-07-01",-2.3,2
"2018-10-01",-1.9,1.8
"2019-01-01",-0.2,1.2
"2019-04-01",0.8,0.2
"2019-07-01",1,-0.1
"2019-10-01",0.5,-0.1
"2020-01-01",1.6,0.5
"2020-04-01",2.8,0.7
"2020-07-01",6.2,1.4
"2020-10-01",8.9,1.7
"2021-01-01",10.7,1.2
"2021-04-01",8.9,1
"2021-07-01",2.8,3.8
"2021-10-01",5.9,7.5
"2022-01-01",19.3,13.7
"2022-04-01",24.8,20.3
"2022-07-01",31.1,20.7
"2022-10-01",26.4,17.8
"2023-01-01",9.7,12.7
"2023-04-01",4.3,7.8
"2023-07-01",4.6,5.2
