"date","Sydney","Rest of NSW","Melbourne","Rest of Vic.","Brisbane","Rest of Qld.","Adelaide","Rest of SA","Perth","Rest of WA","Hobart","Rest of Tas.","Darwin","Rest of NT","Canberra"
"2003-09-01",480,247.3,295,176,269,197,235,150,236,160,165,125,214,195,360
"2003-12-01",520,255,320,185,296.4,205,247.5,162,250,164,182.3,139.3,226,204.5,375
"2004-03-01",523,265,305,190,302.7,224,250,166.6,255,178,200,156,239.5,217.8,375
"2004-06-01",498,270,307.5,195,305,235,257.5,169,262,178,225,156,248.8,215,375
"2004-09-01",500,275,302,195,305,244,261,175,259,185,230,160,245,227.5,352.5
"2004-12-01",515,278,321,205,310,255,270,182,280,199.8,237.3,166.5,259,227,372
"2005-03-01",486,280,310,210,312,270,270,187,290,225,240,179,275,231,374.7
"2005-06-01",500,280,320,205,312,280,271,192,300,230,250,178.3,280,230,373.5
"2005-09-01",490,280,320,210,314.9,285,275,189.3,315,245,245,180,295,232,365
"2005-12-01",500,285,332,220,320,290,280,199,340,265,252.5,192,320,246,387
"2006-03-01",470,290,330,224,325,309,280,210,370,295,260,192,341.5,215,385
"2006-06-01",495,290,345,220,330,312.5,286,210,415,324,270,200,349.5,240,399.5
"2006-09-01",482,285,346,222,335,318.4,290,200,450,335,270,195,360,247.5,413
"2006-12-01",500,290,360,230,343.5,330,300,215,470,350,278,199,380,260,420.8
"2007-03-01",480,300,345,230,352,347,305,223,475,370,280,210,389.5,250,430
"2007-06-01",512.3,300,362,230,375,365,315,223.3,465,374,291.5,220,395,278.8,445
"2007-09-01",514,300,370,233.5,390,376,335,228,475,376.4,285,220,400,270,460
"2007-12-01",540,310,410,245,415,380,358,245,480,379.5,310,230,418.5,289,468
"2008-03-01",495,308,385,243.5,425,380,360,250,470,390,308.5,239.5,420,285,470
"2008-06-01",517,305,400,239,425,380,365,240,455,360,305,230,422.3,285,474
"2008-09-01",482,297.5,385,235,410,365,360,245,440,365,292.5,235,430,285,447
"2008-12-01",468,290,385,236,399,365,355,245,425,351,300,225,445,296.8,450
"2009-03-01",448,300,375,238,400,370,353.5,248,439,360,296.5,235,455,321,459.5
"2009-06-01",490,300,400,245,420,372.8,363,245,455,370,310,240,465,335,455
"2009-09-01",500,310,422,250,430,380,370,260,473,375,310.1,245,490,345,456
"2009-12-01",595,340,477.5,266.5,455,395,398.8,267,505,400,350,252.3,520,368,509
"2010-03-01",583,340,468,275,460,400,402,280,518,410,350.5,262,529,364,530
"2010-06-01",612.5,340,500,278.2,465,395,410,278,510,385,343.8,257,530,395,516.2
"2010-09-01",598,340,488.3,280,460,388,400,275,500,380,340,260,535,421.5,530
"2010-12-01",620,340,520,292.5,460,387.5,410,277.3,500,385,345,260,545,435,534.5
"2011-03-01",575,345,485,293,450,392.8,400,270,500,385.3,338,263.9,510,430,530
"2011-06-01",592,342,502.5,295,442,383,395,275,485,380,330,250,500,400,533
"2011-09-01",567,335,487,286.5,433,380,390,260,470,375,335,250,497,397,490
"2011-12-01",533,330,495,290.5,430,380,385,270,480,372.5,337.5,250,515,410,500
"2012-03-01",607.5,345,478,297.5,430,380,382,270,489.5,385,343,250,525,395,512.5
