Name,Code
Abba River,50001
Abbey,50002
Acton Park (WA),50003
Adamsvale,50004
Ajana,50005
Albany,50006
Aldersyde,50007
Alexander Heights,50008
Alexandra Bridge,50009
Alfred Cove,50010
Alkimos,50011
Allanooka,50012
Allanson,50013
Alma (WA),50014
Ambania,50015
Ambergate,50016
Amelup,50017
Angelo River,50018
Anketell,50019
Anniebrook,50020
Antonymyre,50021
Applecross,50022
Ardath,50023
Ardross,50024
Argyle (WA),50025
Armadale (WA),50026
Arrino,50027
Arrowsmith,50028
Arrowsmith East,50029
Arthur River (WA),50030
Ascot (WA),50031
Ashby (WA),50032
Ashendon,50033
Ashfield (WA),50034
Attadale,50035
Atwell,50036
Aubin Grove,50037
Augusta,50038
Australind,50039
Aveley,50040
Avon Valley National Park,50041
Baandee,50042
Babakin,50043
Badgebup,50045
Badgerin Rock,50046
Badgin,50047
Badgingarra,50048
Badjaling,50049
Bailup,50050
Bakers Hill,50051
Balbarrup,50052
Balcatta,50053
Baldivis,50054
Balga,50055
Balingup,50056
Balkuling,50057
Balla Balla,50058
Balladong,50059
Balladonia,50060
Ballajura,50061
Ballaying,50062
Ballidu,50063
Bally Bally,50064
Bambun,50065
Bandy Creek,50066
Bandya,50067
Banjup,50068
Banksia Grove,50069
Banksiadale,50070
Bannister (WA),50071
Barbalin,50072
Barberton,50073
Barrabup,50074
Barragup,50075
Baskerville,50077
Bassendean (WA),50078
Bateman,50079
Baudin,50080
Baynton (WA),50081
Bayonet Head,50082
Bayswater (WA),50083
Beachlands,50084
Beacon,50085
Beaconsfield (WA),50086
Beadell,50087
Beaufort River,50088
Beaumont (WA),50089
Beckenham,50090
Bedford,50091
Bedfordale,50092
Beechboro,50093
Beechina,50094
Beedelup,50095
Beela,50096
Beelerup,50097
Beeliar,50098
Beenong,50099
Beermullah,50100
Bejoording,50101
Beldon,50102
Belhus,50103
Bellevue (WA),50104
Belmont (WA),50105
Bencubbin,50106
Benger,50107
Benjaberring,50108
Benjinup,50109
Bennett Springs,50110
Bentley (WA),50111
Beresford,50112
Berkshire Valley,50113
Bertram,50115
Beverley (WA),50116
Bibra Lake,50117
Bickley,50118
Bicton,50119
Biddelia,50120
Big Grove,50121
Bilbarin,50122
Bilingurr,50123
Bimbijy,50124
Bindi Bindi,50125
Bindoon,50126
Bindoon Training Area,50127
Binduli,50128
Binningup,50129
Binnu,50130
Birchmont,50131
Bluff Point,50132
Blythewood,50133
Boallia,50134
Bobalong,50135
Bodallin,50136
Boddington,50137
Boilup,50138
Bokal,50139
Bolgart,50140
Bonnie Rock,50141
Bonniefield,50142
Boodarie,50143
Boodarockin,50144
Bookara,50145
Boonanarring,50146
Boorabbin,50147
Booragoon,50148
Booralaming,50149
Boorara,50150
Boorara Brook,50151
Bootenal,50152
Boothendarra,50153
Boranup,50154
Borden,50155
Borderdale,50156
Bornholm,50157
Boscabel,50158
Boulder,50159
Boundain,50160
Bouvard,50161
Bovell,50162
Bow Bridge,50163
Bowelling,50164
Bowes,50165
Bowgada,50166
Boxwood Hill,50167
Boya,50168
Boyanup,50169
Boyatup,50170
Boyerine,50171
Boyup Brook,50172
Brabham,50173
Bramley,50174
Brazier,50175
Breera,50176
Bremer Bay,50177
Brentwood (WA),50178
Breton Bay,50179
